"","X","nugget_id","nugget_page_loaded_ms","upworthy_loaded_ms","facebook_loaded_ms","youtube_loaded_ms","new_visitor","device_type","bounced","quick_exit_status","quick_exit_10","quick_exit_30","yt_video","load_all","max_load_time","log_max_load_time","max_load_time_capped","bounced_num","quick_exit_10_num","quick_exit_30_num"
"7160",7160,"550a0d356235630024880000",10596,10641,25154,29568,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",29568,10.2944479744414,29568,1,0,0
"7161",7161,"550a0d356235630024880000",4174,4185,8124,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"7162",7162,"550a0d356235630024880000",4691,4707,13394,21309,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21309,9.96688479766592,21309,1,0,0
"7163",7163,"550a0d356235630024880000",3479,3482,5313,6695,"Returning","Desktop","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",6695,8.80911625812527,6695,1,0,0
"7164",7164,"550a0d356235630024880000",3246,3252,6859,10514,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",10514,9.26046298137939,10514,1,0,0
"7165",7165,"550a0d356235630024880000",9699,9709,10286,28180,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",28180,10.2463677854527,28180,1,0,1
"7166",7166,"550a0d356235630024880000",5820,6593,11500,20638,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20638,9.93488931567566,20638,1,0,0
"7167",7167,"550a0d356235630024880000",1268,1273,3271,7432,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",7432,8.91355028049368,7432,1,0,1
"7168",7168,"550a0d356235630024880000",7046,7230,22502,29228,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",29228,10.2828824329111,29228,1,0,0
"7169",7169,"550a0d356235630024880000",3526,3571,NA,10564,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7170",7170,"550a0d356235630024880000",5564,5581,17473,19353,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",19353,9.87060272520035,19353,1,0,0
"7171",7171,"550a0d356235630024880000",3293,3465,5270,12055,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",12055,9.39723479061527,12055,1,0,0
"7172",7172,"550a0d356235630024880000",4473,4497,5911,11344,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",11344,9.33644424877191,11344,1,0,0
